,exchange,symbol,base,quote,contract_type,margin_asset,settle_asset,linear_inverse,status,funding_interval_h,raw
0,binance,0GUSDT,0G,USDT,perpetual,USDT,USDT,linear,trading,8,"{""symbol"": ""0GUSDT"", ""pair"": ""0GUSDT"", ""contractType"": ""PERPETUAL"", ""deliveryDate"": 4133404800000, ""onboardDate"": 1758123900000, ""status"": ""TRADING"", ""maintMarginPercent"": ""2.5000"", ""requiredMarginPercent"": ""5.0000"", ""baseAsset"": ""0G"", ""quoteAsset"": ""USDT"", ""marginAsset"": ""USDT"", ""pricePrecision"": 7, ""quantityPrecision"": 0, ""baseAssetPrecision"": 8, ""quotePrecision"": 8, ""underlyingType"": ""COIN"", ""underlyingSubType"": [""Layer-1""], ""triggerProtect"": ""0.1500"", ""liquidationFee"": ""0.020000"", ""marketTakeBound"": ""0.15"", ""maxMoveOrderLimit"": 10000, ""filters"": [{""maxPrice"": ""200"", ""filterType"": ""PRICE_FILTER"", ""tickSize"": ""0.0001000"", ""minPrice"": ""0.0001000""}, {""minQty"": ""1"", ""stepSize"": ""1"", ""maxQty"": ""1000000"", ""filterType"": ""LOT_SIZE""}, {""filterType"": ""MARKET_LOT_SIZE"", ""maxQty"": ""100000"", ""stepSize"": ""1"", ""minQty"": ""1""}, {""filterType"": ""MAX_NUM_ORDERS"", ""limit"": 200}, {""limit"": 10, ""filterType"": ""MAX_NUM_ALGO_ORDERS""}, {""filterType"": ""MIN_NOTIONAL"", ""notional"": ""5""}, {""multiplierDown"": ""0.8500"", ""multiplierUp"": ""1.1500"", ""filterType"": ""PERCENT_PRICE"", ""multiplierDecimal"": ""4""}, {""filterType"": ""POSITION_RISK_CONTROL"", ""positionControlSide"": ""NONE""}], ""orderTypes"": [""LIMIT"", ""MARKET"", ""STOP"", ""STOP_MARKET"", ""TAKE_PROFIT"", ""TAKE_PROFIT_MARKET"", ""TRAILING_STOP_MARKET""], ""timeInForce"": [""GTC"", ""IOC"", ""FOK"", ""GTX"", ""GTD""], ""permissionSets"": [""GRID"", ""COPY"", ""DCA""]}"
1,binance,1000000MOGUSDT,1000000MOG,USDT,perpetual,USDT,USDT,linear,trading,8,"{""symbol"": ""1000000MOGUSDT"", ""pair"": ""1000000MOGUSDT"", ""contractType"": ""PERPETUAL"", ""deliveryDate"": 4133404800000, ""onboardDate"": 1730982600000, ""status"": ""TRADING"", ""maintMarginPercent"": ""2.5000"", ""requiredMarginPercent"": ""5.0000"", ""baseAsset"": ""1000000MOG"", ""quoteAsset"": ""USDT"", ""marginAsset"": ""USDT"", ""pricePrecision"": 7, ""quantityPrecision"": 1, ""baseAssetPrecision"": 8, ""quotePrecision"": 8, ""underlyingType"": ""COIN"", ""underlyingSubType"": [""Meme""], ""triggerProtect"": ""0.1500"", ""liquidationFee"": ""0.020000"", ""marketTakeBound"": ""0.15"", ""maxMoveOrderLimit"": 10000, ""filters"": [{""minPrice"": ""0.0001000"", ""maxPrice"": ""2000"", ""filterType"": ""PRICE_FILTER"", ""tickSize"": ""0.0001000""}, {""filterType"": ""LOT_SIZE"", ""minQty"": ""0.1"", ""maxQty"": ""3000000"", ""stepSize"": ""0.1""}, {""filterType"": ""MARKET_LOT_SIZE"", ""maxQty"": ""300000"", ""stepSize"": ""0.1"", ""minQty"": ""0.1""}, {""limit"": 200, ""filterType"": ""MAX_NUM_ORDERS""}, {""limit"": 10, ""filterType"": ""MAX_NUM_ALGO_ORDERS""}, {""filterType"": ""MIN_NOTIONAL"", ""notional"": ""5""}, {""filterType"": ""PERCENT_PRICE"", ""multiplierDecimal"": ""4"", ""multiplierDown"": ""0.8500"", ""multiplierUp"": ""1.1500""}, {""filterType"": ""POSITION_RISK_CONTROL"", ""positionControlSide"": ""NONE""}], ""orderTypes"": [""LIMIT"", ""MARKET"", ""STOP"", ""STOP_MARKET"", ""TAKE_PROFIT"", ""TAKE_PROFIT_MARKET"", ""TRAILING_STOP_MARKET""], ""timeInForce"": [""GTC"", ""IOC"", ""FOK"", ""GTX"", ""GTD""], ""permissionSets"": [""GRID"", ""COPY"", ""DCA""]}"
2,binance,1000BONKUSDC,1000BONK,USDC,perpetual,USDC,USDC,linear,trading,8,"{""symbol"": ""1000BONKUSDC"", ""pair"": ""1000BONKUSDC"", ""contractType"": ""PERPETUAL"", ""deliveryDate"": 4133404800000, ""onboardDate"": 1714633200000, ""status"": ""TRADING"", ""maintMarginPercent"": ""2.5000"", ""requiredMarginPercent"": ""5.0000"", ""baseAsset"": ""1000BONK"", ""quoteAsset"": ""USDC"", ""marginAsset"": ""USDC"", ""pricePrecision"": 7, ""quantityPrecision"": 0, ""baseAssetPrecision"": 8, ""quotePrecision"": 8, ""underlyingType"": ""COIN"", ""underlyingSubType"": [""USDC""], ""triggerProtect"": ""0.1500"", ""liquidationFee"": ""0.015000"", ""marketTakeBound"": ""0.15"", ""maxMoveOrderLimit"": 10000, ""filters"": [{""filterType"": ""PRICE_FILTER"", ""maxPrice"": ""200"", ""minPrice"": ""0.0000010"", ""tickSize"": ""0.0000010""}, {""filterType"": ""LOT_SIZE"", ""maxQty"": ""60000000"", ""stepSize"": ""1"", ""minQty"": ""1""}, {""filterType"": ""MARKET_LOT_SIZE"", ""maxQty"": ""20000000"", ""minQty"": ""1"", ""stepSize"": ""1""}, {""filterType"": ""MAX_NUM_ORDERS"", ""limit"": 200}, {""limit"": 10, ""filterType"": ""MAX_NUM_ALGO_ORDERS""}, {""notional"": ""5"", ""filterType"": ""MIN_NOTIONAL""}, {""multiplierDown"": ""0.8500"", ""multiplierDecimal"": ""4"", ""filterType"": ""PERCENT_PRICE"", ""multiplierUp"": ""1.1500""}, {""positionControlSide"": ""NONE"", ""filterType"": ""POSITION_RISK_CONTROL""}], ""orderTypes"": [""LIMIT"", ""MARKET"", ""STOP"", ""STOP_MARKET"", ""TAKE_PROFIT"", ""TAKE_PROFIT_MARKET"", ""TRAILING_STOP_MARKET""], ""timeInForce"": [""GTC"", ""IOC"", ""FOK"", ""GTX"", ""GTD""], ""permissionSets"": [""GRID"", ""COPY"", ""DCA""]}"
3,binance,1000BONKUSDT,1000BONK,USDT,perpetual,USDT,USDT,linear,trading,8,"{""symbol"": ""1000BONKUSDT"", ""pair"": ""1000BONKUSDT"", ""contractType"": ""PERPETUAL"", ""deliveryDate"": 4133404800000, ""onboardDate"": 1700661600000, ""status"": ""TRADING"", ""maintMarginPercent"": ""2.5000"", ""requiredMarginPercent"": ""5.0000"", ""baseAsset"": ""1000BONK"", ""quoteAsset"": ""USDT"", ""marginAsset"": ""USDT"", ""pricePrecision"": 7, ""quantityPrecision"": 0, ""baseAssetPrecision"": 8, ""quotePrecision"": 8, ""underlyingType"": ""COIN"", ""underlyingSubType"": [""Meme""], ""triggerProtect"": ""0.1500"", ""liquidationFee"": ""0.015000"", ""marketTakeBound"": ""0.15"", ""maxMoveOrderLimit"": 10000, ""filters"": [{""maxPrice"": ""200"", ""filterType"": ""PRICE_FILTER"", ""minPrice"": ""0.0000010"", ""tickSize"": ""0.0000010""}, {""maxQty"": ""200000000"", ""filterType"": ""LOT_SIZE"", ""minQty"": ""1"", ""stepSize"": ""1""}, {""minQty"": ""1"", ""maxQty"": ""20000000"", ""filterType"": ""MARKET_LOT_SIZE"", ""stepSize"": ""1""}, {""limit"": 200, ""filterType"": ""MAX_NUM_ORDERS""}, {""limit"": 10, ""filterType"": ""MAX_NUM_ALGO_ORDERS""}, {""notional"": ""5"", ""filterType"": ""MIN_NOTIONAL""}, {""filterType"": ""PERCENT_PRICE"", ""multiplierDown"": ""0.8500"", ""multiplierDecimal"": ""4"", ""multiplierUp"": ""1.1500""}, {""filterType"": ""POSITION_RISK_CONTROL"", ""positionControlSide"": ""NONE""}], ""orderTypes"": [""LIMIT"", ""MARKET"", ""STOP"", ""STOP_MARKET"", ""TAKE_PROFIT"", ""TAKE_PROFIT_MARKET"", ""TRAILING_STOP_MARKET""], ""timeInForce"": [""GTC"", ""IOC"", ""FOK"", ""GTX"", ""GTD""], ""permissionSets"": [""GRID"", ""COPY"", ""DCA""]}"
4,binance,1000CHEEMSUSDT,1000CHEEMS,USDT,perpetual,USDT,USDT,linear,trading,8,"{""symbol"": ""1000CHEEMSUSDT"", ""pair"": ""1000CHEEMSUSDT"", ""contractType"": ""PERPETUAL"", ""deliveryDate"": 4133404800000, ""onboardDate"": 1732535100000, ""status"": ""TRADING"", ""maintMarginPercent"": ""2.5000"", ""requiredMarginPercent"": ""5.0000"", ""baseAsset"": ""1000CHEEMS"", ""quoteAsset"": ""USDT"", ""marginAsset"": ""USDT"", ""pricePrecision"": 7, ""quantityPrecision"": 0, ""baseAssetPrecision"": 8, ""quotePrecision"": 8, ""underlyingType"": ""COIN"", ""underlyingSubType"": [""Meme""], ""triggerProtect"": ""0.1500"", ""liquidationFee"": ""0.015000"", ""marketTakeBound"": ""0.15"", ""maxMoveOrderLimit"": 10000, ""filters"": [{""maxPrice"": ""200"", ""filterType"": ""PRICE_FILTER"", ""tickSize"": ""0.0000001"", ""minPrice"": ""0.0000010""}, {""minQty"": ""1"", ""maxQty"": ""1000000000"", ""filterType"": ""LOT_SIZE"", ""stepSize"": ""1""}, {""filterType"": ""MARKET_LOT_SIZE"", ""maxQty"": ""100000000"", ""stepSize"": ""1"", ""minQty"": ""1""}, {""limit"": 200, ""filterType"": ""MAX_NUM_ORDERS""}, {""filterType"": ""MAX_NUM_ALGO_ORDERS"", ""limit"": 10}, {""filterType"": ""MIN_NOTIONAL"", ""notional"": ""5""}, {""filterType"": ""PERCENT_PRICE"", ""multiplierDown"": ""0.8500"", ""multiplierUp"": ""1.1500"", ""multiplierDecimal"": ""4""}, {""filterType"": ""POSITION_RISK_CONTROL"", ""positionControlSide"": ""NONE""}], ""orderTypes"": [""LIMIT"", ""MARKET"", ""STOP"", ""STOP_MARKET"", ""TAKE_PROFIT"", ""TAKE_PROFIT_MARKET"", ""TRAILING_STOP_MARKET""], ""timeInForce"": [""GTC"", ""IOC"", ""FOK"", ""GTX"", ""GTD""], ""permissionSets"": [""GRID"", ""COPY"", ""DCA""]}"
5,binance,1000FLOKIUSDT,1000FLOKI,USDT,perpetual,USDT,USDT,linear,trading,8,"{""symbol"": ""1000FLOKIUSDT"", ""pair"": ""1000FLOKIUSDT"", ""contractType"": ""PERPETUAL"", ""deliveryDate"": 4133404800000, ""onboardDate"": 1683331200000, ""status"": ""TRADING"", ""maintMarginPercent"": ""2.5000"", ""requiredMarginPercent"": ""5.0000"", ""baseAsset"": ""1000FLOKI"", ""quoteAsset"": ""USDT"", ""marginAsset"": ""USDT"", ""pricePrecision"": 7, ""quantityPrecision"": 0, ""baseAssetPrecision"": 8, ""quotePrecision"": 8, ""underlyingType"": ""COIN"", ""underlyingSubType"": [""Meme""], ""triggerProtect"": ""0.1500"", ""liquidationFee"": ""0.015000"", ""marketTakeBound"": ""0.15"", ""maxMoveOrderLimit"": 10000, ""filters"": [{""minPrice"": ""0.0000100"", ""filterType"": ""PRICE_FILTER"", ""tickSize"": ""0.0000100"", ""maxPrice"": ""200""}, {""minQty"": ""1"", ""filterType"": ""LOT_SIZE"", ""maxQty"": ""20000000"", ""stepSize"": ""1""}, {""maxQty"": ""2000000"", ""minQty"": ""1"", ""stepSize"": ""1"", ""filterType"": ""MARKET_LOT_SIZE""}, {""limit"": 200, ""filterType"": ""MAX_NUM_ORDERS""}, {""filterType"": ""MAX_NUM_ALGO_ORDERS"", ""limit"": 10}, {""filterType"": ""MIN_NOTIONAL"", ""notional"": ""5""}, {""multiplierDown"": ""0.8500"", ""filterType"": ""PERCENT_PRICE"", ""multiplierUp"": ""1.1500"", ""multiplierDecimal"": ""4""}, {""positionControlSide"": ""NONE"", ""filterType"": ""POSITION_RISK_CONTROL""}], ""orderTypes"": [""LIMIT"", ""MARKET"", ""STOP"", ""STOP_MARKET"", ""TAKE_PROFIT"", ""TAKE_PROFIT_MARKET"", ""TRAILING_STOP_MARKET""], ""timeInForce"": [""GTC"", ""IOC"", ""FOK"", ""GTX"", ""GTD""], ""permissionSets"": [""GRID"", ""COPY"", ""DCA""]}"
6,binance,1000LUNCUSDT,1000LUNC,USDT,perpetual,USDT,USDT,linear,trading,8,"{""symbol"": ""1000LUNCUSDT"", ""pair"": ""1000LUNCUSDT"", ""contractType"": ""PERPETUAL"", ""deliveryDate"": 4133404800000, ""onboardDate"": 1662620400000, ""status"": ""TRADING"", ""maintMarginPercent"": ""2.5000"", ""requiredMarginPercent"": ""5.0000"", ""baseAsset"": ""1000LUNC"", ""quoteAsset"": ""USDT"", ""marginAsset"": ""USDT"", ""pricePrecision"": 7, ""quantityPrecision"": 0, ""baseAssetPrecision"": 8, ""quotePrecision"": 8, ""underlyingType"": ""COIN"", ""underlyingSubType"": [""DeFi""], ""triggerProtect"": ""0.1000"", ""liquidationFee"": ""0.015000"", ""marketTakeBound"": ""0.10"", ""maxMoveOrderLimit"": 10000, ""filters"": [{""filterType"": ""PRICE_FILTER"", ""minPrice"": ""0.0001000"", ""maxPrice"": ""200"", ""tickSize"": ""0.0000100""}, {""maxQty"": ""30000000"", ""minQty"": ""1"", ""stepSize"": ""1"", ""filterType"": ""LOT_SIZE""}, {""minQty"": ""1"", ""stepSize"": ""1"", ""maxQty"": ""3000000"", ""filterType"": ""MARKET_LOT_SIZE""}, {""limit"": 200, ""filterType"": ""MAX_NUM_ORDERS""}, {""filterType"": ""MAX_NUM_ALGO_ORDERS"", ""limit"": 10}, {""filterType"": ""MIN_NOTIONAL"", ""notional"": ""5""}, {""multiplierUp"": ""1.1000"", ""filterType"": ""PERCENT_PRICE"", ""multiplierDecimal"": ""4"", ""multiplierDown"": ""0.9000""}, {""filterType"": ""POSITION_RISK_CONTROL"", ""positionControlSide"": ""NONE""}], ""orderTypes"": [""LIMIT"", ""MARKET"", ""STOP"", ""STOP_MARKET"", ""TAKE_PROFIT"", ""TAKE_PROFIT_MARKET"", ""TRAILING_STOP_MARKET""], ""timeInForce"": [""GTC"", ""IOC"", ""FOK"", ""GTX"", ""GTD""], ""permissionSets"": [""GRID"", ""COPY"", ""DCA""]}"
7,binance,1000PEPEUSDC,1000PEPE,USDC,perpetual,USDC,USDC,linear,trading,8,"{""symbol"": ""1000PEPEUSDC"", ""pair"": ""1000PEPEUSDC"", ""contractType"": ""PERPETUAL"", ""deliveryDate"": 4133404800000, ""onboardDate"": 1709800200000, ""status"": ""TRADING"", ""maintMarginPercent"": ""2.5000"", ""requiredMarginPercent"": ""5.0000"", ""baseAsset"": ""1000PEPE"", ""quoteAsset"": ""USDC"", ""marginAsset"": ""USDC"", ""pricePrecision"": 7, ""quantityPrecision"": 0, ""baseAssetPrecision"": 8, ""quotePrecision"": 8, ""underlyingType"": ""COIN"", ""underlyingSubType"": [""USDC""], ""triggerProtect"": ""0.1500"", ""liquidationFee"": ""0.015000"", ""marketTakeBound"": ""0.15"", ""maxMoveOrderLimit"": 10000, ""filters"": [{""tickSize"": ""0.0000001"", ""filterType"": ""PRICE_FILTER"", ""minPrice"": ""0.0000001"", ""maxPrice"": ""200""}, {""maxQty"": ""800000000"", ""stepSize"": ""1"", ""filterType"": ""LOT_SIZE"", ""minQty"": ""1""}, {""filterType"": ""MARKET_LOT_SIZE"", ""minQty"": ""1"", ""maxQty"": ""50000000"", ""stepSize"": ""1""}, {""filterType"": ""MAX_NUM_ORDERS"", ""limit"": 200}, {""filterType"": ""MAX_NUM_ALGO_ORDERS"", ""limit"": 10}, {""filterType"": ""MIN_NOTIONAL"", ""notional"": ""5""}, {""multiplierUp"": ""1.1500"", ""multiplierDown"": ""0.8500"", ""multiplierDecimal"": ""4"", ""filterType"": ""PERCENT_PRICE""}, {""filterType"": ""POSITION_RISK_CONTROL"", ""positionControlSide"": ""NONE""}], ""orderTypes"": [""LIMIT"", ""MARKET"", ""STOP"", ""STOP_MARKET"", ""TAKE_PROFIT"", ""TAKE_PROFIT_MARKET"", ""TRAILING_STOP_MARKET""], ""timeInForce"": [""GTC"", ""IOC"", ""FOK"", ""GTX"", ""GTD""], ""permissionSets"": [""GRID"", ""COPY"", ""DCA""]}"
8,binance,1000PEPEUSDT,1000PEPE,USDT,perpetual,USDT,USDT,linear,trading,8,"{""symbol"": ""1000PEPEUSDT"", ""pair"": ""1000PEPEUSDT"", ""contractType"": ""PERPETUAL"", ""deliveryDate"": 4133404800000, ""onboardDate"": 1683244800000, ""status"": ""TRADING"", ""maintMarginPercent"": ""2.5000"", ""requiredMarginPercent"": ""5.0000"", ""baseAsset"": ""1000PEPE"", ""quoteAsset"": ""USDT"", ""marginAsset"": ""USDT"", ""pricePrecision"": 7, ""quantityPrecision"": 0, ""baseAssetPrecision"": 8, ""quotePrecision"": 8, ""underlyingType"": ""COIN"", ""underlyingSubType"": [""Meme""], ""triggerProtect"": ""0.1500"", ""liquidationFee"": ""0.015000"", ""marketTakeBound"": ""0.15"", ""maxMoveOrderLimit"": 10000, ""filters"": [{""minPrice"": ""0.0000001"", ""maxPrice"": ""200"", ""filterType"": ""PRICE_FILTER"", ""tickSize"": ""0.0000001""}, {""filterType"": ""LOT_SIZE"", ""stepSize"": ""1"", ""maxQty"": ""800000000"", ""minQty"": ""1""}, {""stepSize"": ""1"", ""filterType"": ""MARKET_LOT_SIZE"", ""maxQty"": ""100000000"", ""minQty"": ""1""}, {""limit"": 200, ""filterType"": ""MAX_NUM_ORDERS""}, {""limit"": 10, ""filterType"": ""MAX_NUM_ALGO_ORDERS""}, {""filterType"": ""MIN_NOTIONAL"", ""notional"": ""5""}, {""multiplierDecimal"": ""4"", ""multiplierUp"": ""1.1500"", ""multiplierDown"": ""0.8500"", ""filterType"": ""PERCENT_PRICE""}, {""filterType"": ""POSITION_RISK_CONTROL"", ""positionControlSide"": ""NONE""}], ""orderTypes"": [""LIMIT"", ""MARKET"", ""STOP"", ""STOP_MARKET"", ""TAKE_PROFIT"", ""TAKE_PROFIT_MARKET"", ""TRAILING_STOP_MARKET""], ""timeInForce"": [""GTC"", ""IOC"", ""FOK"", ""GTX"", ""GTD""], ""permissionSets"": [""GRID"", ""COPY"", ""DCA""]}"
9,binance,1000SATSUSDT,1000SATS,USDT,perpetual,USDT,USDT,linear,trading,8,"{""symbol"": ""1000SATSUSDT"", ""pair"": ""1000SATSUSDT"", ""contractType"": ""PERPETUAL"", ""deliveryDate"": 4133404800000, ""onboardDate"": 1702389600000, ""status"": ""TRADING"", ""maintMarginPercent"": ""2.5000"", ""requiredMarginPercent"": ""5.0000"", ""baseAsset"": ""1000SATS"", ""quoteAsset"": ""USDT"", ""marginAsset"": ""USDT"", ""pricePrecision"": 7, ""quantityPrecision"": 0, ""baseAssetPrecision"": 8, ""quotePrecision"": 8, ""underlyingType"": ""COIN"", ""underlyingSubType"": [""Meme""], ""triggerProtect"": ""0.1500"", ""liquidationFee"": ""0.015000"", ""marketTakeBound"": ""0.15"", ""maxMoveOrderLimit"": 10000, ""filters"": [{""tickSize"": ""0.0000001"", ""maxPrice"": ""200"", ""minPrice"": ""0.0000010"", ""filterType"": ""PRICE_FILTER""}, {""minQty"": ""1"", ""filterType"": ""LOT_SIZE"", ""maxQty"": ""40000000000"", ""stepSize"": ""1""}, {""maxQty"": ""4000000000"", ""filterType"": ""MARKET_LOT_SIZE"", ""minQty"": ""1"", ""stepSize"": ""1""}, {""limit"": 200, ""filterType"": ""MAX_NUM_ORDERS""}, {""filterType"": ""MAX_NUM_ALGO_ORDERS"", ""limit"": 10}, {""filterType"": ""MIN_NOTIONAL"", ""notional"": ""5""}, {""filterType"": ""PERCENT_PRICE"", ""multiplierUp"": ""1.1500"", ""multiplierDown"": ""0.8500"", ""multiplierDecimal"": ""4""}, {""filterType"": ""POSITION_RISK_CONTROL"", ""positionControlSide"": ""NONE""}], ""orderTypes"": [""LIMIT"", ""MARKET"", ""STOP"", ""STOP_MARKET"", ""TAKE_PROFIT"", ""TAKE_PROFIT_MARKET"", ""TRAILING_STOP_MARKET""], ""timeInForce"": [""GTC"", ""IOC"", ""FOK"", ""GTX"", ""GTD""], ""permissionSets"": [""GRID"", ""COPY"", ""DCA""]}"
