symbol,min_rate,min_exchange,min_funding_time,max_rate,max_exchange,max_funding_time,funding_diff_metric,metric_reason
TREE/USDT,-0.00196097,bybit,2025-11-03 22:00:00+00:00,-0.001806,bitget,2025-11-04 00:00:00+00:00,0.00196097,B_in_next→use_rate_b
API3/USDT,-0.00101022,bybit,2025-11-03 22:00:00+00:00,-0.000114,bitget,2025-11-04 00:00:00+00:00,0.00101022,B_in_next→use_rate_b
OM/USDT,-0.002361,bitget,2025-11-04 00:00:00+00:00,-0.00088676,bybit,2025-11-03 22:00:00+00:00,0.00088676,B_in_next→use_rate_b
SNT/USDT,-0.00126064,bybit,2025-11-03 22:00:00+00:00,-0.000429,bitget,2025-11-03 22:00:00+00:00,0.0008316399999999999,same_time→spread
XTZ/USDT,-0.00078214,bybit,2025-11-03 22:00:00+00:00,-0.000393,bitget,2025-11-04 00:00:00+00:00,0.00078214,B_in_next→use_rate_b
LPT/USDT,-0.001444,bitget,2025-11-04 00:00:00+00:00,-0.00070567,bybit,2025-11-03 22:00:00+00:00,0.00070567,B_in_next→use_rate_b
PRCL/USDT,-0.0028462457825894,okx,2025-11-04 00:00:00+00:00,-0.000617,bitget,2025-11-03 22:00:00+00:00,0.000617,A_in_next→use_rate_a
ME/USDT,-0.0007266,bybit,2025-11-03 22:00:00+00:00,-0.0001245834898308,okx,2025-11-03 22:00:00+00:00,0.0006020165101692,same_time→spread
AVL/USDT,-0.001525,bitget,2025-11-03 22:00:00+00:00,-0.00101525,bybit,2025-11-03 22:00:00+00:00,0.00050975,same_time→spread
BIO/USDT,-0.00084405,bybit,2025-11-03 22:00:00+00:00,-0.000352086592542787,htx,2025-11-03 22:00:00+00:00,0.000491963407457213,same_time→spread
SUPER/USDT,-0.00055276,bybit,2025-11-03 22:00:00+00:00,-8e-05,bitget,2025-11-03 22:00:00+00:00,0.00047276,same_time→spread
0G/USDT,-0.00098,bitget,2025-11-03 22:00:00+00:00,-0.00053722519093384,htx,2025-11-03 22:00:00+00:00,0.00044277480906615993,same_time→spread
ZBT/USDT,-0.00043,bitget,2025-11-03 22:00:00+00:00,1.25e-05,htx,2025-11-03 22:00:00+00:00,0.00044249999999999997,same_time→spread
KAITO/USDT,-0.00043381,bybit,2025-11-03 22:00:00+00:00,-0.000239,bitget,2025-11-04 00:00:00+00:00,0.00043381,B_in_next→use_rate_b
COAI/USDT,1.25e-05,bybit,2025-11-03 22:00:00+00:00,0.0003129534940623,okx,2025-11-03 22:00:00+00:00,0.00030045349406230003,same_time→spread
BERA/USDT,-0.000415,bitget,2025-11-04 00:00:00+00:00,-0.0002317,bybit,2025-11-03 22:00:00+00:00,0.0002317,B_in_next→use_rate_b
